"Mean","SD","NBeads"
669,119,8
4125,912,8
1079,225,17
1847,475,9
793,176,11
11275,1045,10
653,276,14
5183,830,9
11073,1329,11
12555,1329,11
8869,1023,6
11189,952,11
960,177,13
775,460,10
16500,1209,19
7267,1317,12
4413,853,8
9260,1114,18
368,277,12
3022,391,13
354,229,12
1747,569,12
688,169,19
4577,727,15
9818,734,7
929,276,13
3847,754,20
8193,1422,15
2027,540,18
8207,456,11
10959,1001,14
1053,317,10
1592,384,17
11580,1846,7
15549,776,7
94,70,8
3431,666,10
865,337,11
2882,395,13
705,231,11
173,145,16
201,127,17
7879,1314,9
5111,551,9
5914,970,8
114,98,11
916,518,10
2136,675,7
9123,652,13
7647,949,9
5455,730,10
648,176,12
12593,975,14
862,486,8
13723,1201,7
430,316,12
661,263,13
6680,1307,6
61,53,4
7016,1024,11
10988,968,10
342,178,10
1841,502,16
5857,818,13
336,233,11
1049,336,14
14101,1499,10
3826,680,17
811,317,7
3157,554,16
398,233,7
3799,716,17
8901,900,11
570,101,9
1057,369,20
215,229,6
6777,772,14
22510,1553,8
125,127,8
3014,744,25
2972,688,13
11667,1524,16
2024,350,12
622,268,17
8740,1002,9
486,259,15
2006,650,10
9515,1004,11
787,295,10
738,238,9
11349,1518,13
3455,852,11
13120,1091,14
5891,869,13
98,84,8
189,90,5
19774,1287,10
17934,1672,6
5935,608,9
856,492,3
8094,1341,13
8642,1435,13
7077,967,11
12789,2381,10
8039,975,10
8983,544,7
255,165,7
768,189,12
293,225,15
276,124,10
643,186,12
694,332,16
1989,631,16
6445,944,11
11532,1400,16
7991,863,13
1305,601,17
13824,1670,12
1115,469,6
8983,1439,15
460,297,21
2633,725,6
3231,827,10
9781,1194,11
16426,1894,17
13847,1085,8
296,194,17
1022,405,7
992,384,15
559,282,10
18523,1920,10
402,234,18
5012,654,20
10342,1114,16
406,285,11
2422,567,15
13257,1263,20
4404,736,5
645,379,11
735,375,14
4588,885,17
2897,582,11
1155,288,9
1607,603,15
8525,817,19
6828,809,14
644,236,9
498,316,15
1415,586,8
486,272,11
3710,757,19
5958,1074,10
2194,257,9
752,290,9
7724,601,10
6714,655,14
315,275,13
7822,882,10
2856,538,7
875,338,13
543,265,11
1806,655,6
13250,1856,11
146,92,8
2603,396,8
13585,1284,18
3268,699,14
339,177,6
1004,372,18
6812,1031,13
656,225,10
6295,976,26
11539,1237,16
664,320,7
10527,524,6
2170,646,9
8776,1214,13
10505,1324,11
3472,524,18
15059,1265,13
4721,1105,7
1575,454,11
12072,1355,11
12428,1029,14
2548,568,11
506,298,16
8414,1034,10
2490,542,14
370,227,17
391,213,18
12448,1056,8
166,157,13
14200,1212,14
3243,838,16
773,284,25
3690,520,14
190,138,11
126,117,11
11884,1410,16
496,209,9
3265,687,16
1196,340,11
899,342,11
514,260,16
3464,478,15
5690,785,20
3816,818,14
1581,552,10
420,243,23
227,125,13
2541,411,15
3901,449,10
560,187,8
378,240,23
6309,893,12
18446,632,9
244,126,14
1771,547,14
1991,605,11
927,432,8
7397,948,12
242,235,11
7689,970,10
12289,288,8
2197,620,14
382,191,16
411,314,15
702,390,7
550,311,22
261,216,14
1512,869,10
879,408,13
662,242,17
11649,996,10
1135,519,10
4593,847,12
9306,880,13
17234,1035,10
687,312,16
339,252,16
8567,893,14
2958,602,20
467,304,8
1028,230,7
11864,1224,15
3293,502,10
542,204,11
10585,1349,18
4259,841,16
15353,1708,13
711,193,5
2005,563,18
16116,1774,10
5527,822,8
4382,644,11
11302,1259,11
729,272,15
5078,473,10
4428,555,6
2721,582,11
5806,952,15
555,144,11
3140,704,9
515,166,9
4516,723,18
2616,204,7
10613,488,7
10193,1442,9
5549,518,11
2346,575,7
1043,354,13
2064,489,19
6786,1013,12
283,203,12
2923,659,8
3112,434,15
17046,1733,13
786,215,12
1829,520,10
6881,508,10
8942,1285,7
6391,593,11
911,342,14
815,331,16
682,335,17
19004,1867,19
1997,427,9
671,167,18
238,164,13
1709,386,13
684,174,4
2473,730,9
6707,868,12
10334,1682,7
521,341,12
423,188,14
325,244,11
546,371,10
618,376,12
263,175,9
239,115,13
1765,503,10
1849,592,11
7134,1034,14
415,218,18
2950,648,9
13497,1199,25
191,107,7
13365,1048,13
625,253,9
8187,842,11
779,286,19
2990,390,7
371,132,12
348,244,11
301,227,19
1494,587,16
9313,1079,22
4733,865,13
426,205,16
6806,850,14
146,128,11
498,266,16
1525,497,19
3602,454,17
709,394,19
328,53,5
2266,376,17
943,362,12
730,223,12
12987,891,5
4064,354,13
3989,888,12
538,234,15
645,320,8
1925,586,15
4746,693,15
2767,394,12
3945,960,12
259,140,12
320,184,17
403,286,9
2553,467,10
6923,860,18
3884,1060,13
3141,478,10
687,359,13
2422,267,8
2393,650,14
2525,506,13
7257,666,18
3510,496,12
677,338,14
13847,1512,10
636,303,19
20395,1821,13
9818,629,15
394,181,16
1216,480,13
373,204,10
1198,447,14
358,217,10
5009,782,12
10772,1069,16
229,159,11
1031,328,11
254,67,7
343,227,20
6239,816,10
3147,384,11
1571,430,15
481,224,11
701,427,15
889,517,14
8124,1216,17
322,226,11
0,334,46
10618,1355,14
4880,571,11
1089,394,13
139,78,7
637,276,16
9818,1131,10
5371,741,11
4051,893,8
7803,1666,16
259,221,13
15196,1144,19
9723,869,16
315,157,8
7468,772,4
2051,470,16
653,191,10
7055,887,12
6956,687,10
2006,651,13
9343,1496,7
822,316,13
9555,562,5
649,381,12
778,417,19
2580,534,10
28,6,2
12226,1130,16
234,90,8
1124,430,13
12948,1111,13
3224,832,16
2487,671,14
492,195,20
1000,361,13
1170,440,13
7484,765,16
943,321,14
861,303,8
1809,591,7
577,303,13
2599,401,14
13970,1120,14
7717,797,4
379,83,11
3803,728,10
2123,565,18
1359,383,17
889,248,13
1478,375,14
510,255,15
679,469,11
4343,828,19
7514,448,13
5622,259,6
3438,411,7
273,182,15
393,140,10
1002,350,16
1368,491,15
14355,1802,14
1103,451,23
1807,715,13
248,190,16
329,119,10
9804,820,15
386,188,14
3104,569,20
1837,412,7
12000,1062,17
472,225,19
1627,409,13
289,180,9
9779,1285,11
1405,413,12
8802,1100,14
2883,647,23
296,231,7
5214,890,13
3991,574,11
8909,1553,15
8728,1127,11
428,315,11
1911,535,10
437,383,9
843,311,12
3017,980,15
93,90,6
7599,1116,16
813,334,11
295,199,23
4569,266,6
1634,436,11
1138,455,25
143,153,11
1976,454,13
2162,258,10
219,159,12
2054,741,9
617,165,12
7065,1408,13
425,208,11
441,233,8
242,175,9
9378,1044,15
3877,942,12
7381,907,19
2517,593,19
180,127,9
394,192,12
1455,187,11
281,229,5
2229,1074,10
6878,1021,20
557,275,7
3992,833,17
277,241,15
12660,572,3
9236,957,8
10371,608,17
335,196,20
1251,538,21
12338,1009,16
17379,1534,8
8369,754,11
1448,409,17
660,343,19
3933,619,9
571,370,9
180,138,6
248,195,10
9144,803,11
691,354,11
6316,724,14
4843,1039,12
697,236,14
206,129,6
2224,640,8
1011,501,11
2440,483,16
448,179,7
4903,827,16
3945,983,19
2458,475,10
3423,1017,7
7910,728,10
7252,223,10
1503,514,12
5282,497,16
3695,492,14
295,125,16
1275,490,13
15958,2214,8
143,129,13
1151,358,8
12610,1313,14
3287,252,7
9846,708,10
7565,445,11
6670,1094,10
878,276,6
623,230,13
9525,864,10
14762,1719,20
9342,972,16
1500,209,12
367,167,14
6642,558,15
243,124,8
4638,583,11
2456,562,10
1310,566,15
657,232,18
1629,458,16
13822,1198,18
7722,1514,20
5125,982,15
307,213,13
12767,1090,11
782,431,15
515,219,18
3128,620,19
677,355,13
40,50,5
14813,1285,22
7193,673,15
1468,434,16
8793,384,9
6568,867,12
5475,943,18
1615,362,10
4586,630,5
2069,767,12
7373,945,12
16077,1914,17
368,211,10
2087,403,11
520,265,18
219,163,9
4516,622,19
4226,557,10
12486,1212,13
5145,304,6
166,140,14
2239,630,12
3776,727,13
3901,431,8
281,184,7
7515,778,6
4052,575,12
3133,666,19
821,296,12
210,112,12
1951,430,13
1724,363,10
1793,304,15
3916,417,11
4288,694,8
548,269,6
2826,303,11
9540,1244,10
752,430,26
1058,299,16
8374,915,16
4059,628,10
173,139,13
2596,368,9
1383,403,9
2591,499,8
1242,318,10
19393,1284,13
1503,536,18
756,198,14
341,223,12
343,225,29
2572,596,8
768,443,10
367,233,10
2061,561,16
570,366,11
9755,1142,17
747,338,20
19370,2346,13
