"Mean","SD","NBeads"
9654,1612,9
294,233,16
14550,1763,11
10546,1453,11
4216,645,16
5433,929,15
724,286,20
1677,329,14
135,96,10
4757,730,23
1291,312,13
9061,1094,15
8019,1049,10
767,301,8
3244,516,23
11307,1389,12
692,241,9
1379,360,14
7755,739,14
492,274,11
9301,987,8
8402,1043,12
250,161,11
5241,740,10
6308,691,8
8832,1021,14
5423,680,16
8031,923,15
14861,1761,7
5252,821,22
2643,505,14
5467,621,10
2364,341,13
4073,722,17
1018,420,10
13102,1033,10
2167,510,12
623,268,13
1355,352,10
13546,1608,16
249,104,16
13677,1491,14
15892,1526,20
380,158,8
3563,619,7
529,239,15
12298,494,10
197,151,11
4579,984,18
5505,697,16
1553,276,13
2798,298,5
5844,809,18
2281,431,10
9012,735,8
9525,805,11
607,345,11
268,141,15
15333,1710,10
13553,953,6
11080,1041,11
9230,693,15
6000,957,11
208,155,9
6630,563,9
13155,956,18
10376,728,7
1047,257,7
11923,1098,9
677,238,11
6563,355,7
11018,1049,13
436,230,19
3886,503,12
229,143,12
320,148,8
3553,633,15
2304,569,13
5263,869,12
8135,996,10
485,237,10
373,137,7
739,324,11
8018,1242,14
3725,708,16
440,272,17
1482,251,19
15078,766,9
185,113,18
2746,824,13
426,199,13
2197,589,4
9234,1215,9
378,126,12
2672,558,7
1580,202,12
5837,657,14
4609,910,11
8771,992,10
7408,1097,12
372,95,9
1373,330,13
3427,683,10
14302,1697,11
1322,283,14
319,267,18
947,162,9
848,240,25
1523,287,7
1167,507,13
12967,1886,9
549,177,11
275,147,19
344,166,7
197,125,12
380,332,11
241,145,19
8426,1065,16
1146,340,22
442,285,13
15676,626,16
11543,868,14
245,149,11
165,136,16
3621,492,19
9417,686,17
7876,1046,19
3266,251,5
440,240,17
10245,824,12
6750,902,12
714,28,5
11396,1600,13
14708,1849,12
11010,1385,15
9455,718,8
777,242,15
8257,970,15
4565,606,12
1385,559,12
5818,986,12
838,258,17
308,200,9
11906,567,10
777,294,18
782,384,13
478,200,10
637,200,13
10762,1050,8
3001,674,14
11421,911,13
655,191,18
672,242,12
324,199,14
655,173,10
11944,1234,19
7647,961,13
969,193,15
2858,431,16
252,160,13
2160,306,10
5250,551,14
4677,833,10
8561,1443,12
915,354,16
1534,484,11
310,74,11
7516,1048,7
4363,434,20
698,193,10
12764,842,11
236,177,15
6484,964,11
324,234,15
409,315,14
11081,730,17
2389,576,11
0,249,46
760,287,14
9912,825,11
409,143,13
259,208,7
10990,1089,16
1827,220,10
8800,889,11
942,264,8
2755,716,16
5803,924,13
1162,370,19
13115,928,16
225,117,8
4598,270,4
6327,900,16
2661,535,10
544,217,12
3041,400,10
433,350,13
10388,1622,7
321,173,13
889,134,5
3062,515,12
12619,853,19
10020,1022,10
3599,176,2
1513,504,16
278,212,8
2493,711,13
686,311,13
967,302,16
16056,1846,14
12839,957,20
3032,467,13
9559,682,13
8731,692,16
5495,941,14
9509,1097,8
13177,667,7
965,302,13
2481,348,14
1773,305,14
163,42,4
200,125,11
10291,1912,10
1253,268,18
269,212,17
13271,1038,13
13577,1276,14
9186,1213,15
6266,607,11
519,229,19
633,237,13
2687,613,6
4898,546,7
261,168,15
4964,526,10
9783,768,16
4038,544,15
1339,392,14
584,241,23
6307,741,13
233,195,16
5185,1114,10
5905,586,15
6606,884,14
11255,1151,20
9125,258,7
1582,284,17
1711,296,19
3707,409,13
191,142,9
759,219,11
3165,567,12
815,320,14
541,243,23
93,65,7
1064,303,13
7436,961,11
2921,484,15
734,283,11
9254,899,11
885,236,10
364,194,9
11459,547,12
605,195,15
824,169,6
1595,313,16
350,185,11
1859,506,23
8940,1037,6
12885,779,11
2257,538,25
255,129,11
16342,2066,13
278,191,10
2445,423,12
10894,849,9
12139,891,12
347,232,13
4979,429,11
5227,830,8
5363,509,9
7130,1258,15
10523,960,12
11257,1329,19
1402,271,19
1880,420,9
6041,408,12
6803,1134,11
5523,1040,5
1195,334,10
405,195,20
5265,520,7
8316,1081,17
6077,918,15
1608,506,3
1165,263,8
7598,1076,17
4560,661,20
7260,1151,21
1952,491,16
2375,412,8
1107,268,11
5951,976,17
7295,809,19
6706,472,9
4616,780,9
152,108,6
236,158,10
1342,361,11
14136,871,11
7899,1250,14
3817,516,12
492,214,14
800,332,6
6484,692,8
5813,940,11
4258,773,16
2042,310,7
1166,378,16
9885,1276,19
